candidate_id,skill_name,proficiency,category,years_of_experience
1,Anritsu Site Master,,Technical,
1,Huwaie DBS_3900 and BTS-3900,profound knowledge,Technical,
1,Commissioning of BTS,,Technical,
1,3D Simulation and Design of Antennas,,Technical,
1,MS Word,,Office Tools,
1,Excel,,Office Tools,
1,PowerPoint,,Office Tools,
1,Access,,Office Tools,
1,InPage,,Technical,
1,Wireless Video communication,profound knowledge,Technical,
1,Latest Antenna systems,familiar,Technical,
2,MS Office,,Technical,
2,C++,,Programming Language,
2,SQL using Oracle 11g,,Database,
2,Agile development process,,Technical,
3,C++,,Programming Language,
3,Core Java Programming,,Programming Language,
3,C#,,Programming Language,
3,Android Application Development,,Technical,
3,Windows Phone 8 Application Development,,Technical,
3,Asp.Net,,Web Development,
3,Entity Framework,,Technical,
3,Html,,Technical,
3,Java Script,,Programming Language,
3,JQuery,,Technical,
4,Teaching,,Technical,
4,PHP & HTML,,Technical,
4,SQL,,Database,
4,MySQL,,Database,
4,C++,,Programming Language,
4,C#,,Programming Language,
4,.NET,,Technical,
4,Microsoft Office 97,Intermediate,Technical,
4,2007 & 2010 Intermediate (Power Point,Intermediate,Technical,
4,Word,Intermediate,Office Tools,
4,Excel),Intermediate,Office Tools,
4,MS Office Suit,,Technical,
4,MATLAB,,Technical,
5,PHP,,Technical,
5,Java Script,,Programming Language,
5,CSS,,Technical,
5,HTML,,Technical,
5,jquery,,Technical,
5,C++/OOP,,Programming Language,
5,Data Structure,,Technical,
5,JAVA,,Programming Language,
5,ERP (Enterprise Resource Planning),,Technical,
5,MS Word,,Office Tools,
5,MS Excel,,Office Tools,
5,MS PowerPoint,,Office Tools,
5,Microsoft Visio,,Technical,
5,Windows,,Technical,
5,Linux,,Technical,
5,Adobe Photoshop,,Technical,
5,Filezilla,,Technical,
6,Team leading,,Technical,
6,Good communication,,Technical,
6,Presentation Skills,,Technical,
6,Sharp-learning capability,,Technical,
6,Creative,,Technical,
7,Software Development,,Technical,3.0
7,Object Oriented Programming,,Technical,
7,C#,,Programming Language,
7,Asp.Net,,Web Development,
7,SQL Server,,Database,
7,Unity 3D,,Game Development,
7,Android,,Technical,
7,JSON,,Technical,
7,VB.net,,Technical,
7,Java,,Programming Language,
7,C++,,Programming Language,
7,Turbo C,,Technical,
7,VB6,,Technical,
7,MS Access,,Office Tools,
7,XML,,Technical,
7,JavaScript,,Programming Language,
8,Routed Technology,,Technical,10.0
8,Routing Technologies,,Technical,10.0
8,LAN Switching Technologies,,Technical,10.0
8,Configuration and implementation of Security,,Technical,10.0
8,Quality of Service (QoS),,Technical,10.0
8,Windows Server,,Technical,10.0
9,Teaching,,Technical,
9,PHP & HTML,,Technical,
9,SQL,,Database,
9,MySQL,,Database,
9,C++,,Programming Language,
9,C#,,Programming Language,
9,.NET,,Technical,
9,Microsoft Office 97,Intermediate,Technical,
9,2007 & 2010 Intermediate (Power Point,Intermediate,Technical,
9,Word,Intermediate,Office Tools,
9,Excel),Intermediate,Office Tools,
9,MS Office Suit,,Technical,
9,MATLAB,,Technical,
10,Communication,,Technical,
10,Teamwork,,Technical,
10,MS Office,,Technical,
10,Computer Networking,,Technical,
11,TCP/IP Networking,,Technical,
11,Router - Cisco/Juniper,,Technical,
11,Protocol – RIP,,Technical,
11,OSPF and IS-IS,,Technical,
11,Installing and configuring server 2003,,Technical,
11,Managing and maintaining server infrastructure,,Technical,
11,Planning,,Technical,
11,Implementing,,Technical,
11,and Maintaining a Microsoft Windows Server 2003 Active Directory Infrastructure,,Technical,
11,Installing,,Technical,
11,configuring and administrating Microsoft Windows XP,,Technical,
11,Maintenance of peripheral devices,,Technical,
11,Desktop hardware troubleshooting,,Technical,
11,upgrades,,Technical,
11,including memory,,Technical,
11,additional hard drives,,Technical,
12,SQL,,Database,0.0
12,C++,,Programming Language,0.0
12,C,,Technical,0.0
12,Java,,Programming Language,0.0
12,Android,,Technical,0.0
12,XML,,Technical,0.0
12,Eclipse,,Technical,0.0
12,Requirements gathering,,Technical,0.0
12,Testing Mobile applications,,Technical,0.0
12,Diary management,,Technical,0.0
12,Multitasking,,Technical,0.0
12,Administrative systems,,Technical,0.0
12,MS office,,Technical,0.0
12,Linux (.rpm and .deb),,Technical,0.0
12,Analytical,,Technical,0.0
12,Dependable,,Technical,0.0
12,Attention to detail,,Technical,0.0
12,Motivated & enthusiastic,,Technical,0.0
12,Strong work ethic,,Technical,0.0
12,Articulate,,Technical,0.0
12,Accepting feedback and taking constructive criticism well,,Technical,0.0
12,Ability to develop and maintain good relations with colleagues and supervisors/managers,,Technical,0.0
12,Willingness to learn new things,,Technical,0.0
12,Willingness to share knowledge,,Technical,0.0
12,skills and expertise,,Technical,0.0
12,Going the extra mile to make a difference,,Technical,0.0
